"","year","operator","dw","data_source"
"1",2007,"AAL Shipping",191865,"HB"
"2",1971,"ABC Container Line",4660,"CIY"
"3",2005,"ACL",503601,"HB"
"4",2005,"ANL",156515,"HB"
"5",2005,"APL",7387740,"HB"
"6",2017,"APL/PIL",84155,"HB"
"7",2017,"ASL",8210,"HB"
"8",1977,"Admiral Lines",2180,"CIY"
"9",1978,"Admiral Shipping",8460,"CIY"
"10",1982,"Alianca",4450,"CIY"
"11",1981,"AmTrans",22000,"CIY"
"12",1969,"American Export Lines",35000,"CIY"
"13",1968,"American Mail Line",11610,"CIY"
"14",1968,"American President Lines",15850,"CIY"
"15",2005,"Armacup",28080,"HB"
"16",1970,"Atkabtuca SpA",4730,"CIY"
"17",1981,"Atlantic Cargo Service",13000,"CIY"
"18",1967,"Atlantic Container Line",30440,"CIY"
"19",1972,"Atlantic Lash",8000,"CIY"
"20",1974,"Atlanttrafik/Barber Blue Sea",10900,"CIY"
"21",1975,"BSC",8240,"CIY"
"22",1973,"Baltatlantic",3680,"CIY"
"23",1973,"Bank Line",6060,"CIY"
"24",1977,"Barber Blue Sea Line",52150,"CIY"
"25",1972,"Ben Line",53740,"CIY"
"26",2008,"Bengal Tiger Line",47629,"HB"
"27",2007,"Bien Dong",7000,"HB"
"28",1973,"Blasco",3680,"CIY"
"29",1976,"Blue Funnel Kine",4040,"CIY"
"30",1985,"Booth",4220,"CIY"
"31",1986,"Brisa",12080,"CIY"
"32",2008,"C-LINE",105304,"HB"
"33",1979,"CC Line",12360,"CIY"
"34",1973,"CCL",4220,"CIY"
"35",2009,"CCL",24801,"HB"
"36",2005,"CCNI",278793,"HB"
"37",1978,"CD",9000,"CIY"
"38",2005,"CEL",3626,"HB"
"39",2005,"CK Line",103514,"HB"
"40",2008,"CLAN",34017,"HB"
"41",2005,"CMA-CGM",3458426,"HB"
"42",2005,"CMA-CGM/MSC",101662,"HB"
"43",2005,"COSCO",2901037,"HB"
"44",1969,"CP Ships",3220,"CIY"
"45",1980,"CPV",2500,"CIY"
"46",2005,"CSAV",538351,"HB"
"47",1983,"CSC",13200,"CIY"
"48",1985,"CTC",50760,"CIY"
"49",2005,"Camellia Line",8919,"HB"
"50",1977,"Canisa",3000,"CIY"
"51",1971,"Canmar",15860,"CIY"
"52",2005,"Canmar",101421,"HB"
"53",1978,"Canmar/OOCL",17370,"CIY"
"54",1983,"Caribtainer",5010,"CIY"
"55",1969,"Cast Line",3520,"CIY"
"56",1977,"Chargeurs Reunis",14820,"CIY"
"57",2005,"Cheng Lie",198877,"HB"
"58",2011,"China Navigation",327813,"HB"
"59",2005,"China Shipping",2577042,"HB"
"60",2015,"China United Lines",9946,"HB"
"61",1973,"Chipolbrok",2450,"CIY"
"62",1987,"Cho Yang",26500,"CIY"
"63",2010,"Chongqing Marine",9736,"HB"
"64",1971,"Cia Transatlantica Espanola",5600,"CIY"
"65",1970,"Ciamar",4320,"CIY"
"66",1967,"Cie Generale Maritime",1810,"CIY"
"67",1973,"Combi Line",12750,"CIY"
"68",1977,"Compagnie Maritime Belge",7890,"CIY"
"69",1985,"Compagnie maritime d'affretement",19240,"CIY"
"70",1978,"Compania Chilena de Navegacion Interoceanica",19800,"CIY"
"71",1986,"Conship",10200,"CIY"
"72",1978,"Constellation",5060,"CIY"
"73",1980,"Contemaris",3330,"CIY"
"74",1976,"Contract Marine Carriers",3820,"CIY"
"75",1981,"Contship",12660,"CIY"
"76",1970,"Cosco",3150,"CIY"
"77",2005,"DBLCC",6626,"HB"
"78",1979,"DFDS",15480,"CIY"
"79",1981,"DL",6860,"CIY"
